,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Match Number,Alliance,Robot #,Team,Has Entry,No Show,Starting Position,Auto Primary Role,Auto Secondary Role,Auto Fuel %,Auto Fuel % Alliance,Auto Fuel Alliance,Auto Fuel Team,Auto % Shooting,Auto Max Fuel Possible,Won Auto,Transition Primary Role,Transition Secondary Role,Transition Fuel %,Transition Fuel % Alliance,Transition Fuel Alliance,Transition Fuel Team,Transition % Shooting,Transition Max Fuel Possible,Shift 1 Primary Role,Shift 1 Secondary Role,Shift 1 Fuel %,Shift 1 Fuel % Alliance,Shift 1 Fuel Alliance,Shift 1 Fuel Team,Shift 1 % Shooting,Shift 1 Max Fuel Possible,Shift 2 Primary Role,Shift 2 Secondary Role,Shift 2 Fuel %,Shift 2 Fuel % Alliance,Shift 2 Fuel Alliance,Shift 2 Fuel Team,Shift 2 % Shooting,Shift 2 Max Fuel Possible,Shift 3 Primary Role,Shift 3 Secondary Role,Shift 3 Fuel %,Shift 3 Fuel % Alliance,Shift 3 Fuel Alliance,Shift 3 Fuel Team,Shift 3 % Shooting,Shift 3 Max Fuel Possible,Shift 4 Primary Role,Shift 4 Secondary Role,Shift 4 Fuel %,Shift 4 Fuel % Alliance,Shift 4 Fuel Alliance,Shift 4 Fuel Team,Shift 4 % Shooting,Shift 4 Max Fuel Possible,Endgame Primary Role,Endgame Secondary Role,Endgame Fuel %,Endgame Fuel % Alliance,Endgame Fuel Alliance,Endgame Fuel Team,Endgame % Shooting,Endgame Max Fuel Possible,Tele-Op Max Fuel Possible,Total Fuel Scored,Auto Climb Attempt,Auto Climb Success,Tele-Op Climb Attempt,Tele-Op Climb Success,Shooter Rating,Passer Rating,Intake Rating,Driver Rating,Defense Avoidance Rating,Defense Rating,Notes,Recent Match
28,Blue,3,8592,0,,,,,0%,100%,63,0.00,0%,0.00,FALSE,,,0%,100%,1,0.00,0%,0.00,,,0%,100%,76,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,59,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,95,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
28,Red,1,5243,1,,Right Bump,Score,None,20%,80%,69,17.25,100%,17.25,TRUE,Idle,None,0%,70%,20,0.00,0%,0.00,Intake from Neutral Zone,None,0%,70%,0,0.00,0%,0.00,Score,None,20%,100%,109,21.80,100%,21.80,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,20%,100%,93,18.60,100%,18.60,Intake from Neutral Zone,Score,10%,90%,66,7.33,33.3%,22.02,79.67,64.98,L1 Attempted,None,Not Attempted,None,2,1,1,2,0,0,Horrible intake. Slow shooter. No stategy.,FALSE
28,Red,2,2106,1,,Left Trench,Intake from Neutral Zone,Score,60%,80%,69,51.75,33.3%,155.41,TRUE,Score,Intake from Neutral Zone,70%,70%,20,20.00,66.7%,29.99,Idle,None,70%,70%,0,0.00,0%,0.00,Score,None,80%,100%,109,87.20,100%,87.20,Intake from Neutral Zone,Pass,0%,0%,0,0.00,0%,0.00,Score,None,80%,100%,93,74.40,100%,74.40,Score,None,80%,90%,66,58.67,100%,58.67,405.66,292.02,Not Attempted,None,Not Attempted,None,5,5,4,5,0,0,Shooting extremely fast and accurately carried the entire alliance shooting and anything with its shooter went well along with intaking.,FALSE
28,Red,3,3361,1,true,Hub,Idle,None,0%,80%,69,0.00,0%,0.00,TRUE,Idle,None,0%,70%,20,0.00,0%,0.00,Idle,None,0%,70%,0,0.00,0%,0.00,Idle,None,0%,100%,109,0.00,0%,0.00,Idle,None,0%,0%,0,0.00,0%,0.00,Idle,None,0%,100%,93,0.00,0%,0.00,Idle,None,0%,90%,66,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,0,0,0,2,0,0,Hit random things.,FALSE
29,Blue,1,10004,1,,Left Trench,Intake from Neutral Zone,Score,40%,100%,61,24.40,33.3%,73.27,TRUE,Score,Score,70%,100%,32,22.40,100%,22.40,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,40%,100%,80,32.00,100%,32.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,50%,100%,74,37.00,100%,37.00,Score,Score,50%,100%,64,32.00,100%,32.00,196.67,147.80,Not Attempted,None,Not Attempted,None,4,0,4,4,0,0,Pretty good ,FALSE
29,Blue,2,614,1,,Right Bump,Intake from Neutral Zone,Score,50%,100%,61,30.50,33.3%,91.59,TRUE,Intake from Neutral Zone,Score,90%,100%,32,28.80,33.3%,86.49,Intake from Neutral Zone,Score,0%,100%,0,0.00,33.3%,0.00,Score,Score,90%,100%,80,72.00,100%,72.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,80%,100%,74,59.20,100%,59.20,Score,Score,70%,100%,64,44.80,100%,44.80,354.08,235.30,Not Attempted,None,Not Attempted,None,5,0,4,4,2,0,intake broke kinda but still worked a bit ,FALSE
29,Blue,3,4541,0,,,,,0%,100%,61,0.00,0%,0.00,TRUE,,,0%,100%,32,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,80,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,74,0.00,0%,0.00,,,0%,100%,64,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
29,Red,1,11318,1,,Hub,Score,None,20%,40%,24,12.00,100%,12.00,FALSE,Intake from Neutral Zone,None,0%,40%,1,0.00,0%,0.00,Pass,Score,30%,100%,71,21.30,33.3%,63.96,Intake from Neutral Zone,Pass,0%,60%,0,0.00,0%,0.00,Score,None,0%,0%,56,18.67,100%,18.67,Idle,None,0%,70%,0,0.00,0%,0.00,Pass,None,0%,60%,40,0.00,0%,0.00,94.63,51.97,Not Attempted,None,Not Attempted,None,3,2,1,3,0,0,Ok shooter. Bad intake. Great strategy. ,FALSE
29,Red,2,1389,1,,Right Bump,Intake from Neutral Zone,None,0%,40%,24,0.00,0%,0.00,FALSE,Score,Intake from Neutral Zone,10%,40%,1,0.25,66.7%,0.37,Score,Intake from Neutral Zone,40%,100%,71,28.40,66.7%,42.58,Score,Intake from Neutral Zone,30%,60%,0,0.00,66.7%,0.00,Intake from Neutral Zone,None,0%,0%,56,18.67,0%,0.00,Score,None,40%,70%,0,0.00,100%,0.00,Score,None,30%,60%,40,20.00,100%,20.00,62.95,67.32,Not Attempted,None,Not Attempted,None,3,0,3,3,0,0,Okay overall not the best team.,TRUE
29,Red,3,3748,1,,Hub,Score,None,20%,40%,24,12.00,100%,12.00,FALSE,Score,None,30%,40%,1,0.75,100%,0.75,Score,None,30%,100%,71,21.30,100%,21.30,Score,None,30%,60%,0,0.00,100%,0.00,Score,None,0%,0%,56,18.67,100%,18.67,Score,None,30%,70%,0,0.00,100%,0.00,Score,None,30%,60%,40,20.00,100%,20.00,72.72,72.72,Not Attempted,None,Not Attempted,None,3,0,3,3,0,0,,FALSE
30,Blue,1,1111,1,,Left Trench,Idle,Idle,0%,100%,26,0.00,0%,0.00,FALSE,Idle,Idle,0%,100%,0,0.00,0%,0.00,Score,Score,0%,100%,40,0.00,100%,0.00,Defense,Defense,0%,100%,0,0.00,0%,0.00,Defense,Score,0%,100%,47,0.00,33.3%,0.00,Defense,Defense,0%,100%,0,0.00,0%,0.00,Score,Score,10%,100%,44,4.40,100%,4.40,4.40,4.40,Not Attempted,None,Not Attempted,None,1,0,1,2,0,0,Awful,FALSE
30,Blue,2,1727,1,,Hub,Idle,Idle,0%,100%,26,0.00,0%,0.00,FALSE,Score,Score,70%,100%,0,0.00,100%,0.00,Score,Score,80%,100%,40,32.00,100%,32.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,0%,100%,47,0.00,100%,0.00,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,100%,100%,44,44.00,100%,44.00,76.00,76.00,Not Attempted,None,Not Attempted,None,4,5,4,4,1,0,,FALSE
30,Blue,3,1895,0,,,,,0%,100%,26,0.00,0%,0.00,FALSE,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,40,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,47,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,44,0.00,0%,0.00,0.00,0.00,,None,,Level1,,,,,,,,FALSE
30,Red,1,3136,1,,Right Trench,Intake from Neutral Zone,Score,30%,80%,70,26.25,33.3%,78.83,TRUE,Intake from Neutral Zone,None,0%,60%,24,0.00,0%,0.00,Intake from Neutral Zone,Pass,0%,0%,0,0.00,0%,0.00,Score,None,50%,110%,140,63.64,100%,63.64,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,None,50%,120%,101,42.08,100%,42.08,Score,Intake from Neutral Zone,50%,120%,98,40.83,66.7%,61.22,245.77,172.80,Not Attempted,None,Not Attempted,None,4,2,3,4,0,0,Great shooter. Good intake. Auto messed up. ,FALSE
30,Red,2,10679,1,,Hub,Idle,None,0%,80%,70,0.00,0%,0.00,TRUE,Defense,None,0%,60%,24,0.00,0%,0.00,Defense,None,0%,0%,0,0.00,0%,0.00,Defense,None,0%,110%,140,0.00,0%,0.00,Defense,None,0%,0%,0,0.00,0%,0.00,Defense,None,0%,120%,101,0.00,0%,0.00,Pass,None,0%,120%,98,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,1,1,0,1,0,1,Defense was almost impossible and it was to slow and light to defend any robot also its shooter made 0 balls go into the hub and did pass a few balls to both sides and human players.,FALSE
30,Red,3,449,1,,Hub,Score,None,50%,80%,70,43.75,100%,43.75,TRUE,Score,None,60%,60%,24,24.00,100%,24.00,Pass,None,0%,0%,0,0.00,0%,0.00,Score,None,60%,110%,140,76.36,100%,76.36,Pass,None,0%,0%,0,0.00,0%,0.00,Score,None,70%,120%,101,58.92,100%,58.92,Score,None,70%,120%,98,57.17,100%,57.17,260.20,260.20,Not Attempted,None,Not Attempted,None,5,4,5,4,0,0,Holy crap that was amazing. They scored like 300 points by themselves.,FALSE
31,Blue,1,5338,1,,Left Trench,Intake from Neutral Zone,Score,70%,100%,72,50.40,33.3%,151.35,FALSE,Score,Intake from Neutral Zone,60%,100%,20,12.00,66.7%,17.99,Score,Intake from Neutral Zone,60%,100%,89,53.40,66.7%,80.06,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,0%,100%,58,0.00,100%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,50%,100%,96,48.00,100%,48.00,297.40,163.80,Not Attempted,None,Not Attempted,None,4,0,5,4,0,0,,FALSE
31,Blue,2,1719,1,,Hub,Score,Score,10%,100%,72,7.20,100%,7.20,FALSE,Pass,Pass,0%,100%,20,0.00,0%,0.00,Pass,Pass,0%,100%,89,0.00,0%,0.00,Pass,Pass,0%,100%,0,0.00,0%,0.00,Pass,Pass,0%,100%,58,0.00,0%,0.00,Pass,Pass,0%,100%,0,0.00,0%,0.00,Pass,Pass,0%,100%,96,0.00,0%,0.00,7.20,7.20,Not Attempted,None,Not Attempted,None,1,2,0,3,0,0,,FALSE
31,Blue,3,540,0,,,,,0%,100%,72,0.00,0%,0.00,FALSE,,,0%,100%,20,0.00,0%,0.00,,,0%,100%,89,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,58,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,96,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
31,Red,1,619,1,,Hub,Idle,None,0%,70%,78,0.00,0%,0.00,TRUE,Idle,None,0%,80%,28,0.00,0%,0.00,Intake from Neutral Zone,Score,40%,70%,0,0.00,33.3%,0.00,Intake from Neutral Zone,None,0%,40%,106,0.00,0%,0.00,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Idle,None,0%,80%,79,0.00,0%,0.00,Defense,None,0%,90%,92,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,3,0,2,3,0,4,Good defence. Ok shoter. Bad intake.,FALSE
31,Red,2,4099,1,,Left Trench,Intake from Neutral Zone,Score,50%,70%,78,55.71,33.3%,167.31,TRUE,Idle,None,50%,80%,28,17.50,0%,0.00,Intake from Neutral Zone,None,30%,70%,0,0.00,0%,0.00,Defense,None,0%,40%,106,0.00,0%,0.00,Defense,None,0%,0%,0,0.00,0%,0.00,Score,None,40%,80%,79,39.50,100%,39.50,Intake from Neutral Zone,Score,40%,90%,92,40.89,33.3%,122.79,329.60,153.60,Not Attempted,None,Not Attempted,None,2,0,3,2,0,2,Shooter worked sometimes and others it was completely useless the constituency of the robot was horrible the defense did work but the intaking was okay.,FALSE
31,Red,3,836,1,,Right Trench,Score,None,20%,70%,78,22.29,100%,22.29,TRUE,Score,None,30%,80%,28,10.50,100%,10.50,Pass,None,0%,70%,0,0.00,0%,0.00,Score,None,40%,40%,106,106.00,100%,106.00,Pass,None,0%,0%,0,0.00,0%,0.00,Pass,None,40%,80%,79,39.50,0%,0.00,Score,None,50%,90%,92,51.11,100%,51.11,189.90,229.40,Not Attempted,None,Not Attempted,None,4,3,4,4,0,0,,FALSE
32,Blue,1,2377,1,,Left Bump,Score,Score,20%,100%,54,10.80,100%,10.80,TRUE,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,27,0.00,0%,0.00,Pass,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,30%,100%,95,28.50,100%,28.50,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,30%,100%,69,20.70,100%,20.70,Score,Score,30%,100%,68,20.40,100%,20.40,80.40,80.40,Not Attempted,None,Not Attempted,None,3,0,4,3,0,0,,FALSE
32,Blue,2,1262,1,,Hub,Intake from Neutral Zone,Score,50%,100%,54,27.00,33.3%,81.08,TRUE,Score,Score,50%,100%,27,13.50,100%,13.50,Pass,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,30%,100%,95,28.50,100%,28.50,Pass,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,40%,100%,69,27.60,100%,27.60,Score,Intake from Neutral Zone,40%,100%,68,27.20,66.7%,40.78,191.46,123.80,Not Attempted,None,Not Attempted,None,2,4,4,4,1,0,,FALSE
32,Blue,3,122,0,,,,,0%,100%,54,0.00,0%,0.00,TRUE,,,0%,100%,27,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,95,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,69,0.00,0%,0.00,,,0%,100%,68,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
32,Red,1,4472,1,,Left Trench,Intake from Neutral Zone,Score,10%,40%,38,9.50,33.3%,28.53,FALSE,Score,None,80%,100%,6,4.80,100%,4.80,Score,None,40%,60%,51,34.00,100%,34.00,Intake from Neutral Zone,Pass,0%,20%,0,0.00,0%,0.00,Score,None,0%,0%,58,19.33,100%,19.33,Intake from Neutral Zone,Pass,0%,20%,0,0.00,0%,0.00,Score,None,70%,90%,63,49.00,100%,49.00,135.66,116.63,Not Attempted,None,Not Attempted,None,3,3,3,4,0,0,"Good shooter, ok intake, good strategy.",FALSE
32,Red,2,2068,1,,Hub,Score,None,10%,40%,38,9.50,100%,9.50,FALSE,Pass,None,0%,100%,6,0.00,0%,0.00,Defense,None,0%,60%,51,0.00,0%,0.00,Pass,None,0%,20%,0,0.00,0%,0.00,Pass,None,0%,0%,58,19.33,0%,0.00,Defense,None,0%,20%,0,0.00,0%,0.00,Pass,None,0%,90%,63,0.00,0%,0.00,9.50,28.83,Not Attempted,None,Not Attempted,None,1,2,1,1,0,1,Defense helped the other team boosting them into balls allowing them to intake faster the hoper couldn’t even store any of the balls it collected has accuracy but takes forever to shot only one shot.,FALSE
32,Red,3,5804,1,,Right Bump,Score,None,20%,40%,38,19.00,100%,19.00,FALSE,Score,None,20%,100%,6,1.20,100%,1.20,Score,None,20%,60%,51,17.00,100%,17.00,Score,None,20%,20%,0,0.00,100%,0.00,Score,None,0%,0%,58,19.33,100%,19.33,Score,None,20%,20%,0,0.00,100%,0.00,Score,None,20%,90%,63,14.00,100%,14.00,70.53,70.53,Not Attempted,None,Not Attempted,None,2,0,2,3,0,0,Mid. Don't pick.,FALSE
33,Blue,1,346,1,,Left Bump,Intake from Neutral Zone,Score,50%,100%,58,29.00,33.3%,87.09,TRUE,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,7,0.00,0%,0.00,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,60%,100%,101,60.60,100%,60.60,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,40%,100%,108,43.20,100%,43.20,Score,Score,60%,100%,79,47.40,100%,47.40,238.29,180.20,Not Attempted,None,Not Attempted,None,5,0,4,5,0,0,Pretty good,FALSE
33,Blue,2,11415,1,,Right Trench,Intake from Neutral Zone,Score,20%,100%,58,11.60,33.3%,34.83,TRUE,Intake from Neutral Zone,Score,20%,100%,7,1.40,33.3%,4.20,Score,Pass,0%,100%,0,0.00,66.7%,0.00,Score,Intake from Neutral Zone,30%,100%,101,30.30,66.7%,45.43,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,10%,100%,108,10.80,100%,10.80,Intake from Neutral Zone,Score,20%,100%,79,15.80,33.3%,47.45,142.71,69.90,Not Attempted,None,Not Attempted,None,1,2,4,3,1,0,,FALSE
33,Blue,3,2890,0,,,,,0%,100%,58,0.00,0%,0.00,TRUE,,,0%,100%,7,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,101,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,108,0.00,0%,0.00,,,0%,100%,79,0.00,0%,0.00,0.00,0.00,,Level1,,None,,,,,,,,FALSE
33,Red,1,9072,1,,Left Trench,Intake from Neutral Zone,Score,40%,60%,49,32.67,33.3%,98.10,FALSE,Intake from Neutral Zone,Score,60%,90%,43,28.67,33.3%,86.09,Score,Intake from Neutral Zone,70%,110%,63,40.09,66.7%,60.11,Idle,None,0%,50%,0,0.00,0%,0.00,Idle,None,0%,0%,29,9.67,0%,0.00,Idle,None,0%,20%,0,0.00,0%,0.00,Idle,None,0%,50%,21,0.00,0%,0.00,244.29,111.09,Not Attempted,None,Not Attempted,None,5,0,4,4,0,0,Idle for almost whole match. But really good robot.,FALSE
33,Red,2,3939,1,,Right Bump,Idle,None,0%,60%,49,0.00,0%,0.00,FALSE,Idle,None,0%,90%,43,0.00,0%,0.00,Score,None,20%,110%,63,11.45,100%,11.45,Defense,None,20%,50%,0,0.00,0%,0.00,Intake from Neutral Zone,Score,0%,0%,29,9.67,33.3%,29.03,Defense,None,0%,20%,0,0.00,0%,0.00,Score,None,20%,50%,21,8.40,100%,8.40,48.88,29.52,Not Attempted,None,Not Attempted,None,1,0,0,1,0,1,Most skilled robot able to miss every shot at the start of the match and then finally got a few points but not much.,FALSE
33,Red,3,9033,1,,Hub,Score,None,20%,60%,49,16.33,100%,16.33,FALSE,Score,None,30%,90%,43,14.33,100%,14.33,Score,None,20%,110%,63,11.45,100%,11.45,Score,None,30%,50%,0,0.00,100%,0.00,Score,None,0%,0%,29,9.67,100%,9.67,Defense,None,20%,20%,0,0.00,0%,0.00,Score,None,30%,50%,21,12.60,100%,12.60,64.39,64.39,Not Attempted,None,Not Attempted,None,3,0,3,3,0,4,,FALSE
34,Blue,1,8590,1,,Hub,Idle,Idle,0%,100%,38,0.00,0%,0.00,FALSE,Pass,Pass,0%,100%,14,0.00,0%,0.00,Defense,Defense,0%,100%,49,0.00,0%,0.00,Defense,Defense,0%,100%,0,0.00,0%,0.00,Defense,Defense,0%,100%,45,0.00,0%,0.00,Defense,Defense,0%,100%,0,0.00,0%,0.00,Defense,Defense,0%,100%,57,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,0,0,0,3,0,3,,FALSE
34,Blue,2,2537,1,,Right Trench,Idle,Idle,0%,100%,38,0.00,0%,0.00,FALSE,Idle,Idle,0%,100%,14,0.00,0%,0.00,Idle,Idle,0%,100%,49,0.00,0%,0.00,Idle,Idle,0%,100%,0,0.00,0%,0.00,Idle,Idle,0%,100%,45,0.00,0%,0.00,Idle,Idle,0%,100%,0,0.00,0%,0.00,Idle,Idle,0%,100%,57,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,0,0,0,4,0,0,pressed e stop instead of auto stop button during auto,FALSE
34,Blue,3,1629,0,,,,,0%,100%,38,0.00,0%,0.00,FALSE,,,0%,100%,14,0.00,0%,0.00,,,0%,100%,49,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,45,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,57,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
34,Red,1,2199,1,,Right Trench,Intake from Neutral Zone,Score,20%,70%,41,11.71,33.3%,35.18,TRUE,Intake from Neutral Zone,Score,60%,110%,26,14.18,33.3%,42.59,Idle,None,0%,50%,0,0.00,0%,0.00,Intake from Neutral Zone,Score,10%,60%,54,9.00,33.3%,27.03,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,Intake from Neutral Zone,40%,100%,51,20.40,66.7%,30.58,Idle,None,0%,60%,46,0.00,0%,0.00,135.38,55.30,Not Attempted,None,Not Attempted,None,3,0,2,4,0,0,Good shooter. Ok intake.,FALSE
34,Red,2,1908,1,,Left Trench,Score,None,50%,70%,41,29.29,100%,29.29,TRUE,Intake from Neutral Zone,None,50%,110%,26,11.82,0%,0.00,Pass,None,50%,50%,0,0.00,0%,0.00,Score,None,50%,60%,54,45.00,100%,45.00,Intake from Neutral Zone,None,0%,0%,0,0.00,0%,0.00,Score,Intake from Neutral Zone,60%,100%,51,30.60,66.7%,45.88,Intake from Neutral Zone,Score,60%,60%,46,46.00,33.3%,138.14,258.30,162.70,Not Attempted,None,Not Attempted,None,3,4,0,3,0,0,Not accurate but can hold a lot of balls and pass and decent shooting speed.,FALSE
34,Red,3,5587,1,,Hub,Idle,None,0%,70%,41,0.00,0%,0.00,TRUE,Idle,None,0%,110%,26,0.00,0%,0.00,Idle,None,0%,50%,0,0.00,0%,0.00,Idle,None,0%,60%,54,0.00,0%,0.00,Idle,None,0%,0%,0,0.00,0%,0.00,Idle,None,0%,100%,51,0.00,0%,0.00,Idle,None,0%,60%,46,0.00,0%,0.00,0.00,0.00,Not Attempted,None,Not Attempted,None,0,0,0,1,0,0,Did genuinely like nothing.,FALSE
35,Blue,1,10224,1,,Hub,Idle,Idle,0%,100%,47,0.00,0%,0.00,TRUE,Score,Score,10%,100%,24,2.40,100%,2.40,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,40%,100%,115,46.00,100%,46.00,Intake from Neutral Zone,Pass,0%,100%,0,0.00,0%,0.00,Score,Score,40%,100%,115,46.00,100%,46.00,Intake from Neutral Zone,Score,40%,100%,86,34.40,33.3%,103.30,197.70,128.80,Not Attempted,None,Not Attempted,None,5,0,4,4,0,0,,FALSE
35,Blue,2,888,1,,Right Trench,Intake from Neutral Zone,Score,0%,100%,47,0.00,33.3%,0.00,TRUE,Score,Intake from Neutral Zone,40%,100%,24,9.60,66.7%,14.39,Score,Score,40%,100%,0,0.00,100%,0.00,Intake from Neutral Zone,Score,30%,100%,115,34.50,33.3%,103.60,Score,Score,0%,100%,0,0.00,100%,0.00,Score,Score,40%,100%,115,46.00,100%,46.00,Score,Score,60%,100%,86,51.60,100%,51.60,215.60,141.70,Not Attempted,None,Not Attempted,None,4,0,4,4,0,1,,FALSE
35,Blue,3,422,0,,,,,0%,100%,47,0.00,0%,0.00,TRUE,,,0%,100%,24,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,115,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,115,0.00,0%,0.00,,,0%,100%,86,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
35,Red,1,620,1,,Hub,Idle,None,0%,80%,36,0.00,0%,0.00,FALSE,Intake from Neutral Zone,None,0%,90%,6,0.00,0%,0.00,Score,Intake from Neutral Zone,40%,140%,86,24.57,66.7%,36.84,Intake from Neutral Zone,None,0%,100%,0,0.00,0%,0.00,Score,None,0%,0%,77,25.67,100%,25.67,Intake from Neutral Zone,None,0%,100%,0,0.00,0%,0.00,Score,None,40%,130%,35,10.77,100%,10.77,73.27,61.01,Not Attempted,None,Not Attempted,None,3,0,2,3,0,0,"Big hopper, slow shooter. ",FALSE
35,Red,2,686,1,,Left Trench,Intake from Neutral Zone,Score,80%,80%,36,36.00,33.3%,108.11,FALSE,Score,None,80%,90%,6,5.33,100%,5.33,Intake from Neutral Zone,Score,80%,140%,86,49.14,33.3%,147.58,Intake from Neutral Zone,None,80%,100%,0,0.00,0%,0.00,Score,Intake from Neutral Zone,0%,0%,77,25.67,66.7%,38.48,Intake from Neutral Zone,Pass,70%,100%,0,0.00,0%,0.00,Score,None,70%,130%,35,18.85,100%,18.85,318.34,134.99,Not Attempted,None,Not Attempted,None,4,5,4,5,0,0,Getting balls from behind them makes them have to spin around the rest was really good the still were relatively accurate.,FALSE
35,Red,3,5724,1,,Right Bump,Idle,None,0%,80%,36,0.00,0%,0.00,FALSE,Score,None,10%,90%,6,0.67,100%,0.67,Score,None,20%,140%,86,12.29,100%,12.29,Score,None,20%,100%,0,0.00,100%,0.00,Score,None,0%,0%,77,25.67,100%,25.67,Score,None,30%,100%,0,0.00,100%,0.00,Score,None,20%,130%,35,5.38,100%,5.38,44.00,44.00,Not Attempted,None,Not Attempted,None,2,0,2,4,0,0,,FALSE
36,Blue,1,1731,1,,Hub,Intake from Neutral Zone,Score,50%,100%,56,28.00,33.3%,84.08,FALSE,Score,Intake from Neutral Zone,40%,100%,35,14.00,66.7%,20.99,Score,Score,60%,100%,93,55.80,100%,55.80,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Score,0%,100%,82,0.00,100%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,0,0.00,0%,0.00,Score,Idle,50%,100%,89,44.50,66.7%,66.72,227.59,142.30,Not Attempted,None,Not Attempted,None,5,0,4,4,0,0,"Couldn’t shoot at very very end, but really good double turret robot ",FALSE
36,Blue,2,401,1,,Hub,Intake from Neutral Zone,Score,50%,100%,56,28.00,33.3%,84.08,FALSE,Score,Score,40%,100%,35,14.00,100%,14.00,Pass,Pass,0%,100%,93,0.00,0%,0.00,Score,Pass,50%,100%,0,0.00,66.7%,0.00,Intake from Neutral Zone,Intake from Neutral Zone,0%,100%,82,0.00,0%,0.00,Score,Score,60%,100%,0,0.00,100%,0.00,Score,Score,60%,100%,89,53.40,100%,53.40,151.48,95.40,Not Attempted,None,Not Attempted,None,4,0,4,3,0,0,,FALSE
36,Blue,3,339,0,,,,,0%,100%,56,0.00,0%,0.00,FALSE,,,0%,100%,35,0.00,0%,0.00,,,0%,100%,93,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,82,0.00,0%,0.00,,,0%,100%,0,0.00,0%,0.00,,,0%,100%,89,0.00,0%,0.00,0.00,0.00,,None,,None,,,,,,,,FALSE
