Timestamp,Team #?,Match #?,Starting location?,"AUTO scoring 
(uncheck all but final score before continuing) [Speaker score ✅]","AUTO scoring 
(uncheck all but final score before continuing) [Speaker miss ❌]","AUTO scoring 
(uncheck all but final score before continuing) [Amp score ✅]","AUTO scoring 
(uncheck all but final score before continuing) [Amp miss ❌]",# Fouls?,# Tech fouls?,"Tele-op scoring 
(uncheck all but final score before continuing) [Amp score ✅]","Tele-op scoring 
(uncheck all but final score before continuing) [Amp miss ❌]","Tele-op scoring 
(uncheck all but final score before continuing) [Speaker score ✅]","Tele-op scoring 
(uncheck all but final score before continuing) [Speaker miss ❌]",# Fouls?,# Tech fouls?,Climb?,Scored trap?,Harmony? (2 robots on the same chain),Driver performance?,How much defence was played ON this robot?,How effective the defense against this robot?,Did the robot break on the field?,Other notes?,Did this robot PLAY defence? If so how effectively?,Tele-op [Note passes],AUTO [Note passes],Tried center line pickup?,Successful pickup from center line?,Successful Exit STARTING ZONE
3/17/2024 8:37:21,6213,23,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,"Dead after auto
Moved by source ",N/A,,,No,No,No
3/17/2024 8:31:20,6326,24,Source,1,,,,,,2,1,,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Heavy,Somewhat effective,No,,N/A,,,No,No,No
3/17/2024 8:31:48,2849,24,,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,No show,N/A,,,No,No,No
3/17/2024 8:32:32,686,24,Amp,4,,,,,,,,4,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,,N/A,,,No,No,No
3/17/2024 8:33:55,4638,24,Center,2,,,,,,,,,,,,Successful attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,"Stole 686 notes that were shot to other end and they were not on the same team
 ",N/A,,,Yes,Yes,No
3/17/2024 8:33:57,888,24,Amp,2,,,,,,,,4,3,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,Yes
3/17/2024 8:39:36,8514,24,Source,,,,,,,1,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Defense mostly couldn’t intake ,Somewhat effective,,,No,No,No
3/17/2024 7:40:20,3793,25,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Arm didn't work,Not effective,,,No,No,Yes
3/17/2024 7:41:18,2900,25,Source,,,,,,,,,,3,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,No,No,No
3/17/2024 7:55:39,116,25,Source,,,,,,,,,4,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,Tank drive,N/A,,,No,No,No
3/17/2024 8:29:43,2537,25,Amp,,1,,,,,4,,2,,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Somewhat effective,No,,N/A,,,No,No,No
3/17/2024 8:32:44,2377,25,Source,1,,,,,,,,1,,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,Yes,Climb broke while trying to climb with buddy,N/A,,,No,No,No
3/17/2024 8:34:10,9072,25,Center,,1,,,,,,,1,,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,N/A,Yes,"Stopped for a bit, then could not intake and went to defense",Somewhat effective,,,Yes,No,Yes
3/17/2024 8:39:07,1908,25,Center,1,1,,,,,,,6,2,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Not effective,No,,N/A,2,,No,No,No
3/17/2024 0:43:54,5841,26,Amp,,,,,,,,,,,,,Failed attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,"Broke down by chain, so lifted one arm to climb and failed",N/A,,,No,No,No
3/17/2024 0:56:07,7770,26,Source,,,,,,,,,,2,,,Successful attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,"Someone lost a belt, not sure who",N/A,,,No,No,No
3/17/2024 7:37:23,3748,26,Center,1,,,,,,2,1,1,2,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/17/2024 7:46:15,2914,26,Source,,,,,,,,,,1,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"No intake
Gave up and parked middle stage",N/A,,,No,No,No
3/17/2024 7:57:21,1629,26,Center,2,,,,,,,,14,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,-_-,N/A,,,Yes,Yes,Yes
3/17/2024 0:35:16,1719,27,Source,1,,,,,,,,3,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,"Stopped after 30 sec
Slow shooting",N/A,,,No,No,No
3/17/2024 0:45:28,4541,27,Center,,,,,,,4,,4,1,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Somewhat effective,No,,N/A,,,No,No,No
3/17/2024 7:33:14,6213,27,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Completely ineffective defense the whole time,Not effective,,,No,No,No
3/17/2024 7:38:38,8622,27,Amp,1,,,,,,,,2,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,Stopped moving mid game,N/A,,,No,No,No
3/17/2024 7:42:28,5115,27,Amp,1,,,,,,2,2,2,1,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,Yes
3/17/2024 7:48:56,1446,27,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,No show,N/A,,,No,No,No
3/16/2024 22:17:02,888,28,,2,1,,,,,,,3,3,1,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,Not effective,No,,N/A,,,Yes,No,Yes
3/17/2024 0:18:17,8726,28,Amp,1,1,,,,,,,5,2,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,N/A,,,No,No,No
3/17/2024 0:21:58,5243,28,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"Robot didn't work, no defense attempt",N/A,,,No,No,No
3/17/2024 0:37:46,6326,28,Source,1,,,,,,,,2,3,,,Successful attempt,No attempt,Successful attempt,"3 - Decent, they get around, could do better",Light,Somewhat effective,No,"Potential
Strong against weaker defenses",N/A,3,,No,No,No
3/17/2024 0:48:36,1418,28,Amp,,1,,,,,2,,2,1,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Heavy,Significantly effective,No,Temporarily lost comms in middle of match,N/A,,,No,No,No
3/17/2024 7:35:02,4464,28,Center,,1,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Possibly broken,N/A,,,No,No,No
3/17/2024 7:44:52,8326,28,Center,1,,,,,,4,,1,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,Slow intake,N/A,,,No,No,Yes
3/16/2024 22:15:42,1111,29,,1,,,,,,,,,,1,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,defense on 686,Somewhat effective,,,,,
3/16/2024 23:32:00,686,29,Source,1,,,,,,1,,2,,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Significantly effective,No,,N/A,3,,No,No,No
3/17/2024 0:09:40,4456,29,Amp,1,,,,,,,,,2,,,Successful attempt,No attempt,Successful attempt,"4 - Good, slight hesitation, but seemed purposeful",Heavy,Somewhat effective,No,,N/A,,,No,No,No
3/17/2024 0:19:31,2849,29,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,No show,N/A,,,No,No,No
3/17/2024 0:23:44,614,29,Center,2,,,,,,2,,1,2,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,"Stupidly drove under hanging teammate
Used 686 passed notes",N/A,,,Yes,No,Yes
3/17/2024 0:41:31,1389,29,Center,1,,,,,,,,6,,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,Fast climbs,N/A,,,No,No,No
3/16/2024 23:26:09,1727,30,Center,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Field error - throw out?,N/A,,,No,No,No
3/17/2024 0:06:06,2537,30,Center,1,1,,,,,1,1,,1,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,Broke down in middle of game,N/A,,,No,No,No
3/17/2024 0:10:56,7886,30,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Drove under stage and stayed for entire match,N/A,,,No,No,No
3/17/2024 0:17:05,2199,30,Amp,,1,,,,,5,,1,1,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/17/2024 0:20:24,8514,30,Center,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,No show,N/A,,,No,No,No
3/17/2024 0:30:26,4638,30,Source,,1,,,,,,,3,1,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Not great,N/A,,,Yes,No,Yes
3/16/2024 23:03:25,9072,31,Center,2,2,,,,,,,8,3,,,No attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,N/A,,,No,No,No
3/16/2024 23:11:52,1908,31,Center,2,1,,,,,,,3,3,,,Failed attempt,No attempt,Successful attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,N/A,,,No,No,No
3/16/2024 23:17:51,2900,31,Center,,,,,,,,1,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",Light,Somewhat effective,No,Missed amp with preloaded note and could not pick up any more ,N/A,,,No,No,No
3/16/2024 23:24:09,1719,31,Source,,1,,,,,,,2,,,,Successful attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,"Not as quick, does not pick up as fast 
seems  to break towards end ",N/A,,,No,No,No
3/16/2024 23:28:08,4541,31,Amp,1,,,,,,5,,,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/17/2024 0:07:27,6213,31,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,Drove in circles on their side,N/A,,,No,No,No
3/17/2024 0:12:08,116,31,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,Not effective,,,No,No,No
3/16/2024 23:09:07,1629,32,Center,1,,,,,,,,11,2,,,Successful attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,Fast and scored a lot ,N/A,,,No,No,No
3/16/2024 23:13:00,6326,32,Amp,1,,,,,,,,,1,,,Successful attempt,No attempt,Successful attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,Somewhat effective,,,No,No,No
3/16/2024 23:20:29,2377,32,Source,1,,,,,,2,,1,,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Heavy,Significantly effective,No,Would have done much better if not for defense. Locked on other side for a soild 30 seconds buy defense ,N/A,,,,Yes,
3/16/2024 23:25:31,8622,32,Center,1,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,Yes,"Grandma driver 
wheel broke? not driving ",,,,No,No,No
3/16/2024 23:30:12,1418,32,Amp,1,,,,,,,,2,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,"Died with 35sec left
Fragile
Floppy shooter ",N/A,,,No,No,No
3/16/2024 23:03:51,686,33,Source,3,,,,,,,,4,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,Yes,"During auto shooter did not lower, hit chain under stage shooter twisted ",N/A,,,No,No,Yes
3/16/2024 23:10:14,3793,33,Source,,,,,,,4,,,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,Extremely slow moving ,N/A,,,No,No,No
3/16/2024 23:14:26,4456,33,Center,4,,,,,,,,6,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,"Did really well this  time
Consistent shooting ",N/A,,,,,
3/16/2024 23:15:27,5841,33,Amp,,1,,,,,,,1,2,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Not effective,No,,N/A,,,No,No,No
3/16/2024 23:22:21,888,33,Amp,2,,,,,,,,5,3,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,"Driving was good, accuracy was dubious ",N/A,,,Yes,Yes,Yes
3/16/2024 23:26:46,5115,33,Center,1,,,,,,1,1,2,1,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,No,No,No
3/16/2024 22:45:16,8514,34,,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,NO SHOW,,,,,,
3/16/2024 22:55:13,8726,34,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,Yes,All robots hanging no one moving ,,,,No,No,No
3/16/2024 22:59:42,4464,34,Center,,1,,,,,,,,2,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,No,No,No
3/16/2024 23:05:05,2914,34,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,Did nothing went to stage ,,,,,,
3/16/2024 23:11:20,1146,34,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,Completely shut down on field ,N/A,,,No,No,No
3/16/2024 23:15:50,1727,34,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,"??? No idea what happened in this entire match? 
Final 4 to 5",,,,No,No,No
3/16/2024 22:12:53,5243,35,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,No,No,No
3/16/2024 22:40:06,2537,35,Amp,,1,,,,,,1,1,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",Light,Somewhat effective,Yes,Broke on field while trying to score in the speaker ,N/A,,,No,No,No
3/16/2024 22:48:41,1389,35,Source,1,,,,,,4,,,1,1,,Successful attempt,No attempt,Successful attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,"Human player got foul for grabbing note on back side of amp-yellow card 
quick aimber ",N/A,,,No,No,No
3/16/2024 22:57:03,3748,35,Center,1,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,"Seems to have trouble driving
Did not make it to center line ",,,,No,No,No
3/16/2024 23:01:43,4638,35,Center,2,,,,,,,,,3,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,No,No,No
3/16/2024 23:06:35,614,35,Center,3,,,,,,3,1,3,,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,Yes,"Lost a bearing 
looked good ",N/A,1,,,,
3/16/2024 22:19:51,2199,36,Center,,1,,,,,,1,4,1,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,N/A,,,No,No,No
3/16/2024 22:23:32,2849,36,Amp,1,,,,1,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,Died at source ,N/A,,,,,
3/16/2024 22:37:00,8326,36,Amp,,,,,,,2,,4,,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,N/A,,,No,No,Yes
3/16/2024 22:42:34,1111,36,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,"Broken, never moved ",N/A,,,No,No,No
3/16/2024 22:51:15,7770,36,Source,,1,,,,,,,,,,,Failed attempt,No attempt,Failed attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"Hanging from one hook
Red card on match coach for touching controls - not sure what team",N/A,,,No,No,No
3/16/2024 22:58:27,7886,36,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,"Did not do anything
Sad robot 
Did not drive around ",,,,No,No,No
3/16/2024 22:17:43,6213,37,Source,,,,,,,,,,1,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,No,No,No
3/16/2024 22:29:20,1908,37,Source,,1,,,,,,,3,1,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,,N/A,,,No,No,No
3/16/2024 22:34:30,9072,37,Center,3,,,,,,,2,3,,,,No attempt,No attempt,Successful attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,Yes,connection issues breaking field,N/A,,,Yes,Yes,Yes
3/16/2024 22:44:26,1629,37,Amp,1,,,,,,,,8,1,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Somewhat effective,No,Fast and scored great ,N/A,,,No,No,No
3/16/2024 22:47:00,4456,37,Center,1,,,,,,,,1,1,1,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,,Not effective,,,Yes,No,Yes
3/16/2024 22:53:06,1418,37,Amp,,1,,,,,2,3,1,,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,Trouble with amp delivery ,N/A,,,No,No,No
3/16/2024 22:09:02,8622,38,Amp,1,,,,,,,,,1,,,Successful attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Jittery Jank,N/A,,,No,No,No
3/16/2024 22:25:48,888,38,Center,3,,,,,,,,4,,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,could be great,N/A,,,Yes,No,Yes
3/16/2024 22:30:55,2914,38,Source,,,,,,,,,,,,,Successful attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"Not programmed at all, did not move",N/A,,,No,No,No
3/16/2024 22:35:47,116,38,Amp,1,,,,,,2,,1,,,,No attempt,No attempt,Successful attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,No,No,No
3/16/2024 22:57:36,2377,38,Amp,1,,,,,,1,,3,,,,Successful attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,Yes,"robot was jerky and couldn't drive well, so went straight to climbing",N/A,,,,,
3/16/2024 17:19:23,686,39,Amp,1,,,,,,1,,2,1,,,No attempt,No attempt,No attempt,4,Light,Somewhat effective,No,Passes 8,N/A,,,,,
3/16/2024 22:10:21,1389,39,Center,,1,,,,,2,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,most effective at amp,N/A,,,No,No,Yes
3/16/2024 22:18:42,3793,39,Source,,,,,,,1,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,"lost battery plus pulley 
attempted defense then just sat there",N/A,,,No,No,Yes
3/16/2024 22:27:41,614,39,Center,3,,,,,,,,5,,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,fast,N/A,,,,,
3/16/2024 22:32:39,1446,39,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,Driving around with note in its arm not doing anything ,,,,No,No,No
3/16/2024 22:54:01,686,39,Source,1,,,,,,1,,1,1,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Heavy,Not effective,No,,N/A,,,No,No,Yes
3/16/2024 22:58:47,5841,39,Source,1,,,,,,,,2,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,robot got notes stuck underneath it and couldn't move,N/A,,,,,
3/16/2024 22:11:41,1111,40,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"tech errors in the beginning, no movement until 1:00",N/A,,,No,No,No
3/16/2024 22:21:00,8726,40,Amp,,,,,,,,,,3,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,"inefficient intake 
inconsistent shooting wild shots",N/A,,,No,No,No
3/16/2024 22:39:27,7770,40,Amp,,,,,,,,,1,,,,Successful attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,,,
3/16/2024 22:50:11,5115,40,Center,1,,,,,,,,4,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,Yes,stopped halfway through the match,,,,No,No,Yes
3/16/2024 22:55:15,2537,40,Center,1,1,,,,,2,,,,,,Successful attempt,No attempt,Successful attempt,"3 - Decent, they get around, could do better",None,N/A,No,connectivity issues,N/A,,,,,
3/16/2024 22:59:52,5243,40,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,Yes,just moved back and forth on one spot on the field,N/A,,,,,
3/16/2024 17:35:18,4638,41,Center,,2,,,,,,,3,1,,,No attempt,No attempt,No attempt,3,None,N/A,No,"Slow but not bad
Shower had trouble",N/A,,,,,
3/16/2024 22:05:16,6326,41,Source,1,,,,,,,,2,5,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,No,No,Yes
3/16/2024 22:37:49,3748,41,Amp,1,,,,,,,,2,2,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",None,N/A,No,"inconsistent shooter.  started to climb, but fell off the chain",N/A,1,,No,No,No
3/16/2024 22:42:44,4464,41,Center,,1,,,,,,1,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"note in amp, died after missed amp",N/A,,,No,No,No
3/16/2024 22:48:30,4638+,41,Center,,2,,,,,,,3,2,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,"slow but not bad, shooter had trouble",,,,Yes,Yes,Yes
3/16/2024 22:50:45,7886,41,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,,N/A,,,,,
3/16/2024 22:56:21,2900,41,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,didn't do anything,N/A,,,,,
3/16/2024 22:06:29,2849,42,Source,,,,,,,2,,1,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,Jankiest Jank,N/A,,,No,No,Yes
3/16/2024 22:21:05,1719,42,Center,1,,,,,,,,,1,,,Failed attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,No,No,Yes
3/16/2024 22:25:54,8326,42,Source,,1,,,,,2,,1,1,,,Successful attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Not effective,No,"slow moving, not great control",N/A,,,,,
3/16/2024 22:44:18,4541,42,Center,1,,,,,,1,2,2,,,,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,"fast moving, slow shooting",N/A,2,,,,Yes
3/16/2024 22:51:55,2199,42,Amp,1,,,,,,,,1,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",Light,Somewhat effective,Yes,looked like intake was dragging on the ground,N/A,1,,No,No,Yes
3/16/2024 17:48:04,8514,43,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,2,None,N/A,No,Shooter stuck,Not effective,,,No,No,No
3/16/2024 21:58:51,888,43,Center,1,,,,,,,,7,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,Pretty accurate @ speaker,Not effective,,,Yes,No,Yes
3/16/2024 22:07:23,3793,43,Source,,,,,,,3,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,No,No,Yes
3/16/2024 22:21:51,6213,43,Amp,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,did absolutely nothing,N/A,,,No,No,No
3/16/2024 22:34:51,1418,43,Center,,2,,,,,,,4,2,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",Light,Not effective,No,stopped intaking and just wandered (broken?),N/A,,,No,No,No
3/16/2024 22:38:44,1445,43,,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,drove around holding a note.  did not play defense,N/A,,,,,
3/16/2024 18:03:30,686,44,Amp,1,1,,,,,2,3,1,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,"3 amp misses were the same note 3 tries
STOP PASSING AND JUST SHOOT",N/A,"1, 2, 3, 4",,No,No,No
3/16/2024 18:09:39,1908,45,Source,,,,,,,,,,"1, 2",,,Successful attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,No,,N/A,,,,,
3/16/2024 22:02:36,8726,45,,,,,,,,,,3,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,,N/A,,,No,No,No
3/16/2024 22:24:12,1111,45,,,,,,,,,,,,,,No attempt,No attempt,No attempt,,None,N/A,No,NO SHOW,,,,,,
3/16/2024 22:26:50,7886,45,Source,,,,,,,,,,,,,No attempt,No attempt,No attempt,"1 - Completely lost, not contributing in any way",None,N/A,No,"all over the place, shuddering",N/A,,,No,No,No
3/16/2024 22:36:08,1389,45,Center,,1,,,,,,,4,3,,,Failed attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",None,N/A,No,"50/50 shooter, climb not quite off of the floor",N/A,,,No,No,No
3/16/2024 18:16:38,3748,46,Center,1,,,,,,2,,4,,,,Failed attempt,No attempt,No attempt,"4 - Good, slight hesitation, but seemed purposeful",Light,Somewhat effective,No,,N/A,,,No,No,No
3/16/2024 18:16:53,5842,46,Amp,,,,,0,0,,,1,"1, 2, 3",0,0,No attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,Wasn’t that quick getting the notes ,N/A,,,No,No,No
3/16/2024 22:28:04,8326,46,Source,,,,,,,2,,2,,,,Failed attempt,No attempt,No attempt,"3 - Decent, they get around, could do better",None,N/A,No,"slow intake, good amp, good speaker, may have broke climber",N/A,,,,,Yes
3/16/2024 22:29:18,614,46,,3,,,,,,,,3,,,,Successful attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Glued to them,Somewhat effective,No,,N/A,,,No,No,Yes
3/16/2024 22:32:40,4464,46,Amp,1,,,,,,,,,,,,No attempt,No attempt,No attempt,"2 - Mostly lost, but had some use",None,N/A,Yes,lost comms almost immediately,N/A,,,No,No,No
3/16/2024 18:23:24,4541,47,Source,,1,,,,,4,,2,,,,No attempt,No attempt,No attempt,"5 - Fantastic, every move purposeful, wastes no time",Light,Not effective,No,,N/A,,,No,No,No
3/16/2024 18:23:35,4638,47,Center,,1,,,,,,,"1, 2",,,,Successful attempt,No attempt,Failed attempt,"3 - Decent, they get around, could do better",None,N/A,No,A little slow but accurate ,N/A,,,No,No,No
