"Shifts Auto Primary Role","Shifts Auto Secondary Role","Shifts Auto Fuel Pct","Shifts Auto Starting Position","Shifts Auto Climb","Shifts Transition Primary Role","Shifts Transition Secondary Role","Shifts Transition Fuel Pct","Shifts Transition Defense On","Shifts Shift1 Primary Role","Shifts Shift1 Secondary Role","Shifts Shift1 Fuel Pct","Shifts Shift1 Defense On","Shifts Shift2 Primary Role","Shifts Shift2 Secondary Role","Shifts Shift2 Fuel Pct","Shifts Shift2 Defense On","Shifts Shift3 Primary Role","Shifts Shift3 Secondary Role","Shifts Shift3 Fuel Pct","Shifts Shift3 Defense On","Shifts Shift4 Primary Role","Shifts Shift4 Secondary Role","Shifts Shift4 Fuel Pct","Shifts Shift4 Defense On","Shifts Endgame Primary Role","Shifts Endgame Secondary Role","Shifts Endgame Fuel Pct","Shifts Endgame Defense On","Shifts Endgame Climb"," Id"," Hash","  V","Alliance","Createdat","Event Key","Match Key","Match Number","No Show","Overall Shooter","Overall Passer","Overall Intake","Overall Driver","Overall Defense Avoidance","Overall Defense","Overall Notes","Scouter","Team Number","Updatedat"
"Score","None","","Hub","Not Attempted","Pass","None","","None","Defense","None","","None","Defense","Pass","","None","Defense","Pass","","None","Pass","Defense","","None","Pass","Defense","","None","Not Attempted","69da8a366596dd6511f9b8a1","b11a5c52d7a318b6551a7b2ca4d8b498a632b950fa056b0f88665109b884209c","","blue","2026-04-11T17:51:50.438Z","2026chcmp","2026chcmp_qm62","62","","1","2","","3","","3","","lucas","1719","2026-04-11T17:51:50.438Z"
"Score","Score","10","Hub","Not Attempted","Intake from Neutral Zone","Pass","","None","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Defense","Defense","","None","Idle","None","","None","Defense","Idle","","None","Not Attempted","69da8a326596dd6511f9b89d","99c716ae1c282ee1fd1967a557116c7bd8139ed95455954fe3a9eedcda5de1cd","","red","2026-04-11T17:51:46.853Z","2026chcmp","2026chcmp_qm62","62","","","","","2","","","","Sai","339","2026-04-11T17:51:46.853Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Intake from Neutral Zone","Score","30","None","Intake from Neutral Zone","None","","Moderate","Score","None","40","None","Score","None","50","None","Intake from Neutral Zone","None","","None","Score","None","60","None","Not Attempted","69da889a6596dd6511f9b828","6a4170b89fa298580aaced049d8bd772fa3a5561cf127cae9fb7d29c8248b114","","blue","2026-04-11T17:44:58.268Z","2026chcmp","2026chcmp_qm61","61","","5","2","4","4","1","","Amazing shooter and intake. Good strategy.","Nidhish","2106","2026-04-11T17:44:58.268Z"
"Intake from Neutral Zone","None","","Right Trench","Not Attempted","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","Score","20","None","Intake from Neutral Zone","Pass","","None","Score","None","30","Heavy","Intake from Neutral Zone","Pass","","Heavy","Score","Defense","40","Heavy","Not Attempted","69da888c6596dd6511f9b826","8950bd3d7a12b52d823670bef2ae5d09391f61ca64264b2902ba17ff96135fe1","","red","2026-04-11T17:44:44.499Z","2026chcmp","2026chcmp_qm61","61","","4","5","4","4","1","","Can’t do much about getting defended so if you have a good defense they can’t do much.","Snithik","1727","2026-04-11T17:44:44.499Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69da88766596dd6511f9b825","62b397294c9ea5427c3c6f166f57e9e14ddf35f205802b317df35346577b7757","","red","2026-04-11T17:44:22.414Z","2026chcmp","2026chcmp_qm61","61","","","","1","1","","","Terrible.","Arihan","11425","2026-04-11T17:44:22.414Z"
"Intake from Neutral Zone","Pass","","Left Trench","Not Attempted","Intake from Neutral Zone","Score","40","None","Score","Score","50","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","60","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Idle","Idle","","None","Not Attempted","69da88606596dd6511f9b822","ffe1e96bb21959309dbbf5208892bb9efb4ca9cb154c7078d96b380d14a6ce29","","red","2026-04-11T17:44:00.692Z","2026chcmp","2026chcmp_qm61","61","","","","","2","","","Shut downed ","Sai","2377","2026-04-11T17:44:00.692Z"
"Idle","Idle","","Hub","Not Attempted","Idle","Score","","None","Defense","Idle","","None","Idle","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Pass","","None","Not Attempted","69da88596596dd6511f9b81f","730854b7ef9c415663d594f6f7699c89dab959b420535454eb51694f568acc0a","","blue","2026-04-11T17:43:53.920Z","2026chcmp","2026chcmp_qm61","61","","1","2","","2","","2"," got penalties worth 20 points","Falco Carey","1111","2026-04-11T17:43:53.920Z"
"Score","None","20","Left Trench","Not Attempted","Score","None","100","None","Score","Pass","","None","Score","None","70","None","Score","Pass","","None","Score","None","60","None","Score","Intake from Neutral Zone","50","None","Not Attempted","69da88476596dd6511f9b81e","bc4925fcf4be34947705ae8726cb413d86b1db6f62ea3dfb86edf6a4c26eebbb","","blue","2026-04-11T17:43:35.793Z","2026chcmp","2026chcmp_qm61","61","","5","4","5","5","3","","Wastes almost no time on anything","lucas","422","2026-04-11T17:43:35.793Z"
"Intake from Neutral Zone","Score","50","Left Trench","Not Attempted","Score","None","90","None","Intake from Neutral Zone","Pass","","None","Score","None","50","None","Intake from Neutral Zone","Pass","","None","Score","None","50","None","Score","Intake from Neutral Zone","50","None","Not Attempted","69da86956596dd6511f9b7b0","9ee3fff43a42d5baee1961c1f77c6408d670c968394cd3543b67c0f6680bd54a","","blue","2026-04-11T17:36:21.528Z","2026chcmp","2026chcmp_qm60","60","","4","4","3","4","","","👍shooter, 👍passing, mid intake. 👍 strategy.","Nidhish","5549","2026-04-11T17:36:21.528Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Score","None","10","None","Defense","None","","None","Intake from Neutral Zone","None","","Light","Defense","None","","None","Defense","None","","Moderate","Not Attempted","69da86456596dd6511f9b7aa","1828e7511442c178700c7b001e2c918569a95e731f23cca444fac2a86cb0e5ba","","red","2026-04-11T17:35:01.998Z","2026chcmp","2026chcmp_qm60","60","","1","","1","1","1","1","Can be defended very easily defense from it doesn’t do much shooting is slow and if moved will be unable to shoot.","Snithik","8590","2026-04-11T17:35:01.998Z"
"Score","None","50","Left Trench","Not Attempted","Pass","None","","None","Score","None","50","None","Intake from Neutral Zone","None","","None","Score","None","60","None","Intake from Neutral Zone","None","60","None","Score","None","50","None","Not Attempted","69da861c6596dd6511f9b7a3","7baa76431e92e41a309cb01dd13921ef466759ec8840c5e7af12f4d58ee72cf1","","red","2026-04-11T17:34:20.433Z","2026chcmp","2026chcmp_qm60","60","","4","","4","4","","","Pretty good lowk. ","Arihan","401","2026-04-11T17:34:20.433Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Score","Score","20","None","Intake from Neutral Zone","Pass","","None","Score","Score","40","Moderate","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","40","Light","Intake from Neutral Zone","Score","40","Light","Not Attempted","69da860d6596dd6511f9b796","9801fdab4e68f34d709640d023ca825a19e0ccb1b60e5c1958a0e62f345c1ea5","","blue","2026-04-11T17:34:05.107Z","2026chcmp","2026chcmp_qm60","60","","3","5","4","3","3","","","Falco Carey","619","2026-04-11T17:34:05.107Z"
"Intake from Neutral Zone","Score","10","Right Bump","Not Attempted","Score","Score","10","None","Score","Score","20","None","Intake from Neutral Zone","None","","None","Score","Score","40","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","80","None","Not Attempted","69da860c6596dd6511f9b795","abd525c4c2af69c299647c84cb913bf6f312fc7838bafec82ff0e0bd95f79e56","","red","2026-04-11T17:34:04.862Z","2026chcmp","2026chcmp_qm60","60","","","","","3","","","They are pretty slow and mid ","Sai","1389","2026-04-11T17:34:04.862Z"
"Score","None","10","Hub","Not Attempted","Defense","Score","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Not Attempted","69da85ec6596dd6511f9b78c","8c4243ef650f3ba308c9acb6792776fe107c5dca72caae978724ed55b3ff88af","","blue","2026-04-11T17:33:32.031Z","2026chcmp","2026chcmp_qm60","60","","1","","","2","","2","Slow drivetrain ","lucas","10679","2026-04-11T17:33:32.031Z"
"Intake from Neutral Zone","Score","10","Right Trench","Not Attempted","Intake from Neutral Zone","Score","40","None","Intake from Neutral Zone","Score","40","None","Intake from Neutral Zone","None","","None","Score","Intake from Neutral Zone","50","None","Intake from Neutral Zone","None","","None","Score","None","60","None","Not Attempted","69da84796596dd6511f9b72e","b660d8cf69c480fe7e5d52c8af93eae2dd4095fc2c1daac5d5a172ecc387e1da","","red","2026-04-11T17:27:21.234Z","2026chcmp","2026chcmp_qm59","59","","5","","5","5","","","Really good at the beginning it wasn’t shooting to many and at the end it started getting a lot of balls in fast.","Snithik","686","2026-04-11T17:27:21.234Z"
"Score","None","10","Hub","Not Attempted","Score","None","10","None","Score","None","10","None","Score","None","20","None","Idle","None","10","None","Idle","None","10","None","Idle","None","","None","Not Attempted","69da84676596dd6511f9b72c","99f5c52213511773bab9e094dce88cfa3d60b1ab238b987f1851ef3e9132cac6","","red","2026-04-11T17:27:03.002Z","2026chcmp","2026chcmp_qm59","59","","2","","","2","","","Mid","Arihan","5587","2026-04-11T17:27:03.002Z"
"Idle","None","","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Pass","None","","None","Score","None","10","None","Pass","None","","None","Score","None","10","None","Defense","None","","None","Not Attempted","69da84606596dd6511f9b72b","1f9f4490a68e5333a77c4f800bd0b432730450c83a93d083c200b27a6072db22","","blue","2026-04-11T17:26:56.035Z","2026chcmp","2026chcmp_qm59","59","","1","3","1","2","","1","👎","Nidhish","3361","2026-04-11T17:26:56.035Z"
"Intake from Neutral Zone","Score","","Left Bump","Not Attempted","Intake from Neutral Zone","Score","30","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Score","Score","50","None","Not Attempted","69da84486596dd6511f9b726","1d76c4278b0b1637e8be8d31be51744491dd1263eb7f490c631a1e0ab72bd7fc","","red","2026-04-11T17:26:32.881Z","2026chcmp","2026chcmp_qm59","59","","5","","5","5","","","Auto broke lol","Sai","9072","2026-04-11T17:26:32.881Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Score","Intake from Neutral Zone","40","None","Defense","Defense","","None","Score","Score","50","None","Defense","Defense","","None","Score","Score","30","None","Score","Intake from Neutral Zone","60","None","Not Attempted","69da84356596dd6511f9b724","bd833af40a0900c7f49aeaa9bf61ab3273badbc73d2a1ec309aa342fce88fc77","","blue","2026-04-11T17:26:13.639Z","2026chcmp","2026chcmp_qm59","59","","3","","4","4","","4","locking us down","Falco Carey","540","2026-04-11T17:26:13.639Z"
"Score","None","50","Left Trench","Not Attempted","Score","None","60","None","Intake from Neutral Zone","None","50","None","Score","None","50","None","Intake from Neutral Zone","None","","None","Score","None","60","None","Score","None","60","None","Not Attempted","69da82be6596dd6511f9b6cf","bbe4e08b125f326b9065f42e77f4220bf5efba0bdf2c9a6abf879c65d546418b","","red","2026-04-11T17:19:58.190Z","2026chcmp","2026chcmp_qm58","58","","4","","3","4","","","Pretty good","Arihan","4099","2026-04-11T17:19:58.190Z"
"Score","None","20","Right Bump","Not Attempted","Intake from Neutral Zone","None","","Light","Score","None","30","None","Intake from Neutral Zone","None","30","None","Score","None","30","None","Idle","None","30","None","Score","None","30","None","Not Attempted","69da82ad6596dd6511f9b6cc","ef2f91a6ecce95e37daa2bf7a5b81028e99e1fb5c8f6e6a3de7c4f0a842bb7bf","","red","2026-04-11T17:19:41.282Z","2026chcmp","2026chcmp_qm58","58","","2","","1","2","","","Intake was a hole in their robot it worked but not well and they had a slow turret.","Snithik","5243","2026-04-11T17:19:41.282Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Pass","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69da82a46596dd6511f9b6c6","90f223a522f02b013b1a1b62003eed3a94fe2ce01a9871d7681b4aaf56bff0ad","","blue","2026-04-11T17:19:32.546Z","2026chcmp","2026chcmp_qm58","58","","","3","1","4","","","Passed the ball only. ","Nidhish","5724","2026-04-11T17:19:32.546Z"
"Intake from Neutral Zone","Score","80","Right Trench","Not Attempted","Intake from Neutral Zone","Score","70","None","Intake from Neutral Zone","Score","60","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Intake from Neutral Zone","80","None","Intake from Neutral Zone","Pass","","None","Score","Score","70","None","Not Attempted","69da828f6596dd6511f9b6b4","4654f3cd3e215409e47852fe26edab6562009f7259339b7e1ac8e2dc7d96be79","","blue","2026-04-11T17:19:11.262Z","2026chcmp","2026chcmp_qm58","58","","5","","4","3","","","great shooter","Falco Carey","346","2026-04-11T17:19:11.262Z"
"Score","None","20","Left Trench","Not Attempted","Score","None","","None","Intake from Neutral Zone","None","","Light","Score","None","40","Moderate","Intake from Neutral Zone","Score","","None","Score","None","40","None","Intake from Neutral Zone","None","40","None","Not Attempted","69da82836596dd6511f9b6ab","61989424011215bf85a4bc24ec4e13ed044ec182b05fb749f455288ec4bb8c7f","","blue","2026-04-11T17:18:59.432Z","2026chcmp","2026chcmp_qm59","59","true","3","","3","4","2","","","lucas","1262","2026-04-11T17:26:19.122Z"
"Score","None","50","Left Trench","Not Attempted","Score","None","50","None","Intake from Neutral Zone","None","40","None","Intake from Neutral Zone","None","","None","Score","Intake from Neutral Zone","20","None","Intake from Neutral Zone","None","10","None","Score","None","60","None","Not Attempted","69da82836596dd6511f9b6aa","8df305143d01e9442a36ce8ec562101e44b4ba253ac1a0abd8865b5f9f5d0155","","blue","2026-04-11T17:18:59.071Z","2026chcmp","2026chcmp_qm58","58","","4","","4","4","3","","","lucas","10224","2026-04-11T17:18:59.071Z"
"Intake from Neutral Zone","Score","10","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","10","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Not Attempted","69da82806596dd6511f9b6a8","81b64b53791b9fff2db3a6836e32923b19c2546515a30f05f1fa70cd3db5821f","","red","2026-04-11T17:18:56.710Z","2026chcmp","2026chcmp_qm58","58","","","","","2","","","","Sai","11318","2026-04-11T17:18:56.710Z"
"Score","None","","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","None","","None","Idle","None","","None","Idle","None","","None","Defense","None","","None","Pass","None","","None","Not Attempted","69da81936596dd6511f9b67b","2df3df6e9115983ef40f3008713874af91c1a6f76d78c408f8406615c9295b00","","blue","2026-04-11T17:14:59.743Z","2026chcmp","2026chcmp_qm57","57","","2","3","1","2","","3","Very cluless at times. Bad feeder.","Nidhish","620","2026-04-11T17:14:59.743Z"
"Score","None","70","Left Trench","Not Attempted","Score","None","70","None","Pass","None","70","None","Score","None","70","None","Intake from Neutral Zone","None","","None","Score","None","80","None","Score","None","80","None","Not Attempted","69da80fc6596dd6511f9b651","a0e34edcaebc4e9b3b6236ff7b8eff3bd5561eb86c21d86b6c02721541c0064c","","red","2026-04-11T17:12:28.367Z","2026chcmp","2026chcmp_qm57","57","","4","3","4","3","","","","Arihan","1731","2026-04-11T17:12:28.367Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Score","None","40","None","Intake from Neutral Zone","Pass","40","None","Score","None","40","None","Pass","Intake from Neutral Zone","40","None","Score","Intake from Neutral Zone","40","None","Score","Intake from Neutral Zone","50","None","Not Attempted","69da80f86596dd6511f9b650","fed9dbe84ecb20486252c58de3c4b62fb0b630f55c2d860eb23890284453c783","","red","2026-04-11T17:12:24.253Z","2026chcmp","2026chcmp_qm57","57","","5","5","4","5","","","Really good at everything and with help it is a really good robot.","Snithik","11415","2026-04-11T17:12:24.699Z"
"Intake from Neutral Zone","Score","20","Left Trench","Not Attempted","Score","Idle","80","None","Intake from Neutral Zone","Pass","","None","Pass","Defense","","None","Pass","Pass","","None","Pass","Pass","","None","Pass","Defense","","None","Not Attempted","69da80db6596dd6511f9b64d","9c8235ae97be6b72ce3675bff69c1c196bff75310227794151d78904129391cf","","blue","2026-04-11T17:11:55.448Z","2026chcmp","2026chcmp_qm57","57","","1","3","3","3","1","1","only passed with exception of auto","Falco Carey","2421","2026-04-11T17:11:55.448Z"
"Score","Score","20","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Pass","Pass","","None","Defense","Defense","","None","Defense","Defense","","None","Pass","Pass","","None","Score","Pass","10","None","Not Attempted","69da80c96596dd6511f9b647","8c483a0b95fcb600ce32767e1f757ac572ee395209c673e22627609a0aa9aa59","","red","2026-04-11T17:11:37.848Z","2026chcmp","2026chcmp_qm57","57","","","","","3","","4","Good defense when done but only did for 5 seconds ","Sai","2068","2026-04-11T17:11:37.848Z"
"Score","None","70","Right Trench","L1 Attempted","Score","None","","Moderate","Score","None","","Light","Score","None","","None","Score","None","90","Moderate","Score","Pass","","None","Score","None","100","None","L1 Attempted","69da80c36596dd6511f9b645","20e96d588ed057b11fae92198a767070f7866fbf3279dbaf370152b8471ce5bc","","blue","2026-04-11T17:11:31.626Z","2026chcmp","2026chcmp_qm57","57","","3","","3","4","2","","","lucas","2890","2026-04-11T17:11:31.626Z"
"Intake from Neutral Zone","Score","60","Left Trench","Not Attempted","Score","None","80","None","Intake from Neutral Zone","Score","80","None","Intake from Neutral Zone","Pass","80","None","Score","None","80","None","Intake from Neutral Zone","Pass","80","None","Score","Intake from Neutral Zone","80","None","Not Attempted","69da7f286596dd6511f9b5e8","438791786aae9978926d3acd1f432163eca54b0e6872373cf5207143185b5d58","","red","2026-04-11T17:04:40.887Z","2026chcmp","2026chcmp_qm56","56","","4","4","4","4","","","Only robot on alliance actually shooting.","Snithik","122","2026-04-11T17:04:41.908Z"
"Idle","None","","Hub","Not Attempted","Score","None","70","None","Pass","None","","None","Score","None","50","None","Pass","None","","None","Score","None","50","None","Intake from Neutral Zone","Score","50","None","Not Attempted","69da7f286596dd6511f9b5e6","d153df3888198518e12044882fa919d9dd7089c7973dc06e44f038de41c33cb6","","blue","2026-04-11T17:04:40.082Z","2026chcmp","2026chcmp_qm56","56","","5","4","3","3","","","Great shooter and strategy. ","Nidhish","8592","2026-04-11T17:04:40.082Z"
"Score","None","30","Right Trench","Not Attempted","Score","None","30","None","Score","None","30","None","Score","None","30","None","Score","None","30","None","Score","None","30","None","Score","None","30","None","Not Attempted","69da7ef36596dd6511f9b5cb","17b31dba1a965a3472ca105ffa2f3217d169cf33124ffd5df41583f6253eb55f","","red","2026-04-11T17:03:47.279Z","2026chcmp","2026chcmp_qm56","56","","3","","2","3","","","","Arihan","2537","2026-04-11T17:03:47.623Z"
"Intake from Neutral Zone","Score","50","Left Trench","Not Attempted","Intake from Neutral Zone","Score","40","None","Intake from Neutral Zone","Pass","","None","Score","Score","60","None","Idle","Pass","","None","Score","Score","70","None","Score","Intake from Neutral Zone","60","None","Not Attempted","69da7ef36596dd6511f9b5ca","346172b0d2efa8a3a4a8fd3f0548bc5b5aced695d373b3a18f221d579f28af4f","","blue","2026-04-11T17:03:46.943Z","2026chcmp","2026chcmp_qm56","56","","4","5","5","5","2","","tuff","Falco Carey","836","2026-04-11T17:03:47.048Z"
"Intake from Neutral Zone","Score","40","Hub","Not Attempted","Intake from Neutral Zone","Score","30","None","Score","None","30","None","Intake from Neutral Zone","None","","Moderate","Score","None","30","None","Intake from Neutral Zone","None","40","None","Score","None","40","Heavy","Not Attempted","69da6df06596dd6511f9b167","f85cdfc31047976c7cee150bc354bdd990bdf1b2964d162c411311facfce00cc","","blue","2026-04-11T15:51:12.416Z","2026chcmp","2026chcmp_qm55","55","","4","","4","4","2","","Good shooter. Good intake. Good strategy.","Nidhish","1629","2026-04-11T15:51:12.416Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Intake from Neutral Zone","Score","50","None","Intake from Neutral Zone","Pass","","None","Score","None","50","None","Intake from Neutral Zone","None","","None","Score","None","60","None","Idle","None","60","None","Not Attempted","69da6dd86596dd6511f9b164","86e4aac06fac85314a273a84a31c3857cad0c4cd6262baabd2ef5616e30f4d2d","","red","2026-04-11T15:50:48.146Z","2026chcmp","2026chcmp_qm55","55","","4","4","4","4","","","Ver good overall then at the end game it randomly stoped for some reason.","Snithik","5338","2026-04-11T15:50:48.146Z"
"Intake from Neutral Zone","Idle","","Right Trench","Not Attempted","Pass","Score","60","None","Intake from Neutral Zone","Score","60","None","Intake from Neutral Zone","Pass","","None","Score","Intake from Neutral Zone","80","Light","Intake from Neutral Zone","Defense","","None","Score","Score","70","None","Not Attempted","69da6dbf6596dd6511f9b162","baa63aefe81037ee202fe6f0898ad135fff8ea4d0ea4ff43bb5f557fd25e35a1","","blue","2026-04-11T15:50:23.418Z","2026chcmp","2026chcmp_qm55","55","","5","5","5","4","2","1","auto got stuck and driver crashed few times, toward end drivetrain became jittery probably wiring","Falco Carey","449","2026-04-11T15:50:23.418Z"
"Score","None","10","Hub","Not Attempted","Score","None","10","None","Score","None","20","None","Pass","None","","None","Score","None","10","None","Score","None","","None","Score","None","10","Light","Not Attempted","69da6db56596dd6511f9b161","b7044a2cf4223cd675ee1c48da08b1ae861cfc5e97a7fcc4c770496e8e05b530","","blue","2026-04-11T15:50:13.071Z","2026chcmp","2026chcmp_qm55","55","","2","2","2","3","","","slow shooting, bad accuracy, driver was a bit clueless ","lucas","4541","2026-04-11T15:50:13.071Z"
"Score","Score","30","Left Bump","Not Attempted","Intake from Neutral Zone","Idle","","None","Pass","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","70","None","Not Attempted","69da6daa6596dd6511f9b15d","07b07984daf124e25943b8e2a745c7c46f0e53165de6a7f36ef83bce5b9fa840","","red","2026-04-11T15:50:02.825Z","2026chcmp","2026chcmp_qm55","55","","3","2","","3","","","","Sai","3748","2026-04-11T15:50:02.825Z"
"Idle","None","","Hub","Not Attempted","Pass","None","","None","Pass","None","","None","Pass","None","","None","Pass","None","","None","Pass","None","","None","Pass","None","","None","Not Attempted","69da6c2f6596dd6511f9b0f5","b6e8197f7b646df92e938cb5c3e5bfeebcef4e3f83fa0cd9967348b6b368ba98","","red","2026-04-11T15:43:43.367Z","2026chcmp","2026chcmp_qm54","54","","","3","","3","","","Just pushes balls into alliance zone very slowly.  ","Snithik","11425","2026-04-11T15:43:43.404Z"
"Score","None","30","Hub","Not Attempted","Pass","Intake from Neutral Zone","","None","Pass","None","","None","Score","None","20","None","Intake from Neutral Zone","Pass","","None","Score","None","30","None","Score","None","30","None","Not Attempted","69da6c0b6596dd6511f9b0ec","0e5dd2bc330aa134b0ffd0e835753de0e881451793a97fecdee42b0cbe13dc8c","","blue","2026-04-11T15:43:07.325Z","2026chcmp","2026chcmp_qm54","54","","3","4","2","3","","","Mid robot. Good shooter and great passing. ","Nidhish","3939","2026-04-11T15:44:47.964Z"
"Score","None","30","Left Trench","Not Attempted","Score","None","40","None","Score","None","30","None","Score","None","30","None","Intake from Neutral Zone","None","30","None","Score","None","40","None","Score","None","30","None","Not Attempted","69da6c086596dd6511f9b0e8","1ffb6b077dcc3c0b0946961f9d4822fc4a065bb58af9157314c6cab121ca5f34","","red","2026-04-11T15:43:04.275Z","2026chcmp","2026chcmp_qm55","55","true","4","","4","3","","","","Arihan","888","2026-04-11T15:50:36.149Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Score","None","10","None","Score","None","10","None","Score","None","10","None","Score","None","10","None","Score","None","10","None","Not Attempted","69da6c076596dd6511f9b0e7","cb09378233623758f9aa6f7cd66636c080c29e4b180ddad9decc4ac8846b54dd","","red","2026-04-11T15:43:03.926Z","2026chcmp","2026chcmp_qm54","54","","2","","2","3","","","Pretty bad don't pick.","Arihan","8590","2026-04-11T15:43:03.926Z"
"Intake from Neutral Zone","Score","60","Right Trench","Not Attempted","Intake from Neutral Zone","Score","100","None","Pass","Intake from Neutral Zone","","None","Score","Score","70","None","Intake from Neutral Zone","Pass","","None","Score","Score","60","None","Score","None","70","None","Not Attempted","69da6bf66596dd6511f9b0e1","cbf170350068c2b50d8aa6a7ff8622fd5907133c51eeebd004eea114e2e5c0e2","","blue","2026-04-11T15:42:46.112Z","2026chcmp","2026chcmp_qm54","54","","4","4","4","5","","","","Falco Carey","2199","2026-04-11T15:42:46.112Z"
"Score","Score","","Right Bump","Not Attempted","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69da6b9f6596dd6511f9b0d5","b96b4ed328d77d1f8d065bfb467482d4c1f60db493406c3cf85b2b24eb35d778","","red","2026-04-11T15:41:19.792Z","2026chcmp","2026chcmp_qm54","54","","","","","1","","","Idle the entire match ","Sai","1111","2026-04-11T15:41:19.792Z"
"Intake from Neutral Zone","Score","50","Hub","Not Attempted","Intake from Neutral Zone","Score","80","None","Intake from Neutral Zone","Score","40","Light","Intake from Neutral Zone","None","","None","Score","None","30","None","Intake from Neutral Zone","None","","None","Score","None","40","None","Not Attempted","69da6ade6596dd6511f9b0a4","0e4b4a9bbb7055bcc3417b4bd85746f8b24aeb435b4897974c8263367f2247b0","","blue","2026-04-11T15:38:06.710Z","2026chcmp","2026chcmp_qm53","53","","4","","3","4","","","Good shooter and intake. Great strategy. ","Nidhish","5549","2026-04-11T15:38:06.710Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Intake from Neutral Zone","Score","50","None","Intake from Neutral Zone","Score","50","None","Intake from Neutral Zone","Pass","","None","Score","Score","50","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","30","None","Not Attempted","69da6ac86596dd6511f9b09f","f51032ab81b2f21f2dbac650e4236c92bfd071ae4dc6a6c2e4b0d3379c59a2c3","","red","2026-04-11T15:37:44.689Z","2026chcmp","2026chcmp_qm53","53","","4","","4","4","","","","Sai","540","2026-04-11T15:37:44.689Z"
"Score","None","80","Left Trench","Not Attempted","Score","None","70","None","Intake from Neutral Zone","None","70","None","Score","None","70","None","Intake from Neutral Zone","None","70","None","Score","None","80","None","Score","None","80","None","Not Attempted","69da6ab56596dd6511f9b093","86b75b0486cbdcb93072c114fb3bb79454a7dfb1fb0da719faff9dc5884badb2","","red","2026-04-11T15:37:25.068Z","2026chcmp","2026chcmp_qm53","53","","5","","5","5","","","Great job Ben. That was tuff.","Arihan","686","2026-04-11T15:37:25.068Z"
"Score","Idle","10","Hub","Not Attempted","Defense","Pass","10","None","Defense","Pass","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Defense","None","","None","Not Attempted","69da6aad6596dd6511f9b08c","fb58030e7ee07de1b70fd24302103769b34bde875351a053183d99b260564afc","","red","2026-04-11T15:37:17.175Z","2026chcmp","2026chcmp_qm53","53","","1","","2","3","","4","Good defense helped quite a bit preventing the other alliance scoring.","Snithik","5804","2026-04-11T15:37:17.248Z"
"Score","Idle","30","Hub","Not Attempted","Pass","Intake from Neutral Zone","","None","Intake from Neutral Zone","Pass","","None","Pass","Pass","","None","Pass","Pass","","Moderate","Pass","Pass","","None","Score","Score","30","None","Not Attempted","69da6a446596dd6511f9b070","2e2734881b2ff8c38725645cd221e2dd7efd340941720f9761a079ccbf600484","","blue","2026-04-11T15:35:32.242Z","2026chcmp","2026chcmp_qm53","53","","3","4","4","4","","","","Falco Carey","1908","2026-04-11T15:35:32.242Z"
